id_venda,data,id_produto,id_cliente,quantidade,preco_unitario,desconto_pct,valor_total,canal
43,2024-03-21,9,42,8,46.13,0,369.02,Representante
44,2023-09-07,4,41,4,1219.14,5,4632.72,Loja Física
45,2022-05-29,3,36,2,610.35,0,1220.69,Loja Física
46,2022-07-24,8,29,4,507.92,0,2031.67,Representante
47,2023-03-13,6,36,3,371.91,10,1004.15,Loja Física
48,2022-09-29,4,13,2,1058.65,0,2117.31,Online
49,2023-05-16,7,12,3,369.4,0,1108.19,Loja Física
50,2022-11-20,6,5,5,411.24,5,1953.39,Representante
51,2023-09-12,5,15,3,304.52,10,822.19,Representante
52,2024-12-19,3,25,8,622.46,0,4979.69,Representante
53,2023-09-06,9,41,4,44.34,15,150.76,Online
54,2022-10-03,4,43,3,1158.8,0,3476.41,Online
55,2022-08-08,5,39,2,301.36,15,512.32,Representante
56,2022-11-15,3,45,7,696.91,0,4878.35,Loja Física
57,2023-03-08,1,7,5,3872.58,15,16458.46,Loja Física
58,2023-02-21,6,35,3,431.89,15,1101.31,Representante
59,2023-06-25,2,18,3,258.99,10,699.26,Loja Física
60,2023-05-30,5,2,4,357.87,0,1431.5,Online
61,2024-05-17,7,19,3,398.3,0,1194.89,Online
62,2022-01-08,9,31,5,47.11,0,235.55,Online
63,2023-06-21,7,38,4,392.04,0,1568.16,Representante
64,2024-06-23,5,44,4,350.14,10,1260.49,Representante
65,2024-05-25,2,35,3,275.4,10,743.58,Online
66,2022-08-18,7,21,3,358.52,0,1075.57,Representante
67,2022-11-02,8,1,1,567.45,10,510.71,Online
68,2024-01-27,7,49,5,374.95,10,1687.29,Representante
69,2022-10-31,6,20,3,425.18,5,1211.76,Online
70,2022-03-27,4,46,3,1223.08,0,3669.25,Loja Física
71,2022-03-23,4,5,3,1184.01,0,3552.02,Online
72,2023-05-27,9,38,1,40.29,15,34.25,Online
73,2023-12-26,3,25,9,585.37,10,4741.47,Loja Física
74,2022-11-13,10,50,5,96.77,0,483.86,Online
75,2022-12-29,9,1,6,45.37,5,258.62,Online
76,2023-01-03,9,50,4,46.58,15,158.38,Loja Física
77,2024-04-23,7,41,1,323.83,15,275.25,Representante
78,2023-05-24,1,33,3,4379.14,0,13137.42,Online
79,2022-08-10,10,9,1,96.09,5,91.29,Online
80,2024-08-21,7,34,2,391.84,0,783.67,Online
81,2024-07-31,5,16,2,327.55,0,655.09,Loja Física
82,2023-04-12,5,37,4,361.71,0,1446.86,Online
83,2023-01-31,4,20,1,1035.83,5,984.04,Loja Física
84,2023-07-25,4,43,4,1185.2,0,4740.8,Loja Física
85,2023-12-21,6,50,8,407.82,15,2773.19,Representante
86,2024-03-29,1,38,2,3843.67,15,6534.23,Representante
87,2023-11-10,6,38,9,378.9,0,3410.12,Online
88,2023-06-19,9,21,6,48.76,0,292.57,Representante
89,2023-06-28,6,29,3,400.19,0,1200.58,Online
90,2024-06-08,5,50,5,341.16,0,1705.8,Representante
91,2023-10-05,2,34,2,278.49,5,529.14,Representante
92,2024-11-13,8,30,5,483.05,0,2415.25,Loja Física
93,2023-01-25,8,38,2,522.6,0,1045.19,Online
94,2024-06-12,5,37,2,368.76,0,737.52,Representante
95,2023-02-08,10,8,3,95.73,0,287.2,Loja Física
96,2022-05-24,6,21,1,457.46,15,388.84,Loja Física
97,2023-10-05,2,38,6,267.29,15,1363.17,Online
98,2023-09-08,10,12,3,95.89,10,258.9,Loja Física
99,2024-04-16,7,14,4,344.95,0,1379.81,Loja Física
100,2023-08-29,7,24,3,397.86,10,1074.21,Online
101,2023-01-28,5,37,2,314.52,5,597.59,Representante
102,2024-02-16,7,10,4,367.46,15,1249.36,Representante
103,2022-12-23,7,24,2,326.7,10,588.06,Representante
104,2023-09-09,9,32,6,45.83,5,261.25,Representante
105,2022-01-01,9,3,2,41.33,0,82.66,Loja Física
106,2023-03-07,2,24,3,239.77,5,683.36,Representante
107,2023-10-22,7,48,3,369.3,5,1052.51,Loja Física
108,2024-06-24,6,5,6,359.32,15,1832.53,Online
109,2024-11-12,8,39,5,511.19,5,2428.15,Representante
110,2022-12-14,4,29,6,1034.9,15,5277.98,Online
111,2023-08-05,7,9,5,342.14,10,1539.63,Representante
112,2023-11-18,3,1,7,624.46,0,4371.22,Online
113,2023-09-28,2,16,6,257.18,0,1543.08,Online
114,2022-10-29,3,5,1,620.29,0,620.29,Online
115,2023-05-17,2,3,1,292.85,5,278.2,Representante
116,2022-05-30,4,17,1,1263.21,5,1200.04,Loja Física
117,2023-02-03,5,48,2,298.3,15,507.1,Representante
118,2024-02-26,5,23,3,357.11,5,1017.77,Loja Física
119,2023-05-15,10,28,1,91.0,0,91.0,Representante
120,2022-01-12,10,34,3,93.96,0,281.87,Loja Física
121,2023-03-25,10,4,4,92.18,0,368.7,Representante
122,2024-11-26,9,32,8,47.69,5,362.42,Online
123,2023-05-26,9,25,2,42.11,0,84.22,Loja Física
124,2022-10-01,1,31,2,4762.16,5,9048.11,Representante
125,2024-12-23,9,17,10,47.03,10,423.3,Representante
126,2023-10-12,6,22,2,437.85,5,831.92,Representante
127,2024-10-30,3,38,6,567.7,5,3235.91,Representante
128,2024-07-02,4,2,2,1293.52,0,2587.04,Representante
129,2024-08-30,4,1,6,1163.89,5,6634.16,Loja Física
130,2023-05-22,3,38,3,705.39,15,1798.75,Loja Física
131,2024-12-03,10,4,10,98.17,5,932.61,Representante
132,2023-05-05,1,12,3,4093.7,0,12281.1,Loja Física
133,2022-06-08,9,19,3,46.45,15,118.44,Loja Física
134,2023-04-26,2,35,5,289.09,0,1445.47,Loja Física
135,2023-10-17,2,9,6,293.23,10,1583.42,Online
136,2022-10-11,2,35,3,246.09,0,738.28,Online
137,2024-02-24,1,20,1,4895.67,15,4161.32,Online
138,2023-03-15,10,29,4,79.33,0,317.31,Loja Física
139,2024-04-14,2,30,7,296.32,0,2074.26,Representante
140,2024-08-12,10,44,2,90.4,5,171.76,Online
141,2023-02-28,10,21,2,80.88,5,153.68,Loja Física
142,2022-02-10,7,6,4,357.15,10,1285.74,Loja Física
143,2024-09-03,4,12,4,1146.07,0,4584.3,Loja Física
144,2023-09-04,3,35,1,639.74,5,607.75,Loja Física
145,2023-03-28,10,14,4,79.87,5,303.51,Online
146,2023-07-13,4,43,5,1235.87,5,5870.4,Loja Física
147,2022-03-01,4,11,1,1091.44,5,1036.87,Loja Física
148,2024-04-08,8,11,4,555.72,15,1889.44,Online
149,2024-08-15,8,35,4,529.89,0,2119.57,Representante
150,2024-12-29,1,32,6,4363.07,0,26178.41,Loja Física
151,2022-02-25,7,41,3,342.98,0,1028.93,Representante
152,2024-05-27,2,18,8,243.29,0,1946.35,Loja Física
153,2023-01-08,7,36,1,338.84,0,338.84,Loja Física
154,2024-02-16,9,7,6,39.72,0,238.34,Online
155,2024-07-20,4,20,2,1093.42,0,2186.85,Loja Física
156,2024-02-16,4,45,4,1266.83,0,5067.31,Loja Física
157,2023-06-01,8,40,4,499.02,0,1996.08,Loja Física
158,2022-02-09,9,20,3,44.46,15,113.38,Representante
159,2022-04-17,9,4,5,42.45,0,212.26,Online
160,2022-05-21,6,8,3,415.45,15,1059.4,Online
161,2022-03-05,7,4,2,340.4,0,680.8,Online
162,2022-02-11,10,29,3,77.29,10,208.69,Online
163,2023-05-04,9,45,1,48.05,0,48.05,Loja Física
164,2022-08-23,7,44,8,403.37,10,2904.24,Online
165,2024-08-10,4,15,3,1305.42,15,3328.82,Loja Física
166,2024-01-26,10,25,2,93.25,0,186.5,Representante
167,2022-08-23,2,37,4,260.16,0,1040.65,Loja Física
168,2022-08-10,7,2,4,384.25,10,1383.29,Online
169,2023-10-01,5,41,3,362.39,10,978.46,Representante
170,2024-02-08,10,35,4,82.43,5,313.24,Representante
171,2023-02-11,5,42,2,308.48,0,616.97,Representante
172,2023-05-13,10,50,3,77.72,0,233.15,Representante
173,2023-09-10,9,44,2,48.83,15,83.01,Representante
174,2022-09-05,10,37,1,82.69,10,74.42,Online
175,2023-12-13,7,24,4,402.74,10,1449.88,Loja Física
176,2024-01-29,9,16,1,49.05,0,49.05,Representante
177,2023-11-30,7,14,5,346.52,0,1732.59,Loja Física
178,2024-09-30,5,29,4,324.08,0,1296.3,Loja Física
179,2024-01-12,1,44,3,4250.02,15,10837.55,Loja Física
180,2022-11-10,4,31,7,1143.52,5,7604.44,Online
181,2024-12-04,2,27,12,239.42,15,2442.08,Loja Física
182,2024-09-17,7,35,7,367.45,5,2443.52,Loja Física
183,2023-07-04,3,26,6,646.37,0,3878.22,Online
184,2022-06-27,3,2,3,640.73,0,1922.18,Loja Física
185,2023-05-15,3,3,5,575.14,5,2731.89,Representante
186,2024-02-16,7,45,5,359.87,0,1799.36,Online
187,2024-10-09,10,8,6,91.25,0,547.48,Online
188,2024-09-25,3,4,3,624.02,0,1872.06,Loja Física
189,2023-06-14,9,20,3,40.76,0,122.27,Loja Física
190,2023-07-20,6,39,6,441.67,10,2385.03,Online
191,2024-11-24,5,32,7,338.78,0,2371.45,Online
192,2023-05-10,6,23,3,400.12,15,1020.32,Loja Física
193,2024-09-27,3,16,5,685.33,10,3083.98,Online
194,2024-09-02,7,17,4,379.28,15,1289.56,Representante
195,2024-10-02,5,21,4,331.97,5,1261.5,Online
196,2022-07-10,5,27,2,302.07,0,604.15,Online
197,2024-04-08,4,36,5,1296.75,15,5511.19,Online
198,2023-09-20,3,20,2,576.02,15,979.23,Representante
199,2024-01-26,9,25,3,43.84,5,124.95,Representante
200,2024-12-23,6,43,7,434.57,0,3042.0,Loja Física
201,2023-11-09,9,25,1,43.83,0,43.83,Representante
202,2024-07-18,8,32,6,470.8,0,2824.77,Loja Física
203,2023-05-30,3,30,4,624.2,0,2496.78,Online
204,2023-01-30,1,35,1,3858.16,0,3858.16,Online
205,2023-01-15,6,9,4,444.01,0,1776.04,Online
206,2024-09-18,5,11,5,322.98,0,1614.91,Representante
207,2024-12-10,8,27,6,520.54,10,2810.89,Loja Física
208,2022-07-25,2,6,3,261.61,0,784.82,Loja Física
209,2023-04-11,1,16,4,4806.23,0,19224.92,Online
210,2023-09-12,7,4,1,393.74,0,393.74,Representante
211,2024-12-29,2,46,2,269.56,0,539.13,Loja Física
212,2022-04-04,4,22,1,1167.56,0,1167.56,Representante
213,2023-08-22,7,33,6,335.43,15,1710.69,Online
214,2024-10-02,6,9,4,446.04,0,1784.15,Online
215,2023-08-06,9,48,2,47.38,5,90.03,Loja Física
216,2024-06-21,9,6,3,39.15,0,117.44,Online
217,2022-04-16,1,1,4,4584.83,0,18339.32,Loja Física
218,2022-08-22,4,15,5,1188.81,0,5944.07,Loja Física
219,2024-10-04,10,1,4,84.33,0,337.32,Representante
220,2022-04-20,5,5,1,384.16,0,384.16,Online
221,2023-09-15,10,39,3,85.92,0,257.75,Online
222,2022-08-31,5,39,1,347.41,10,312.67,Loja Física
223,2023-04-08,3,48,3,596.55,10,1610.68,Loja Física
224,2024-07-11,2,10,4,287.94,5,1094.18,Loja Física
225,2024-05-28,8,3,4,498.62,0,1994.46,Representante
226,2022-05-04,1,49,6,4301.24,10,23226.71,Representante
227,2022-07-23,2,14,7,271.32,0,1899.23,Representante
228,2023-03-09,7,12,1,398.69,0,398.69,Representante
229,2022-06-16,4,35,1,1307.87,0,1307.87,Online
230,2022-12-22,9,49,3,45.88,10,123.87,Online
231,2022-11-17,9,18,7,42.39,0,296.75,Loja Física
232,2024-07-11,2,23,6,262.7,15,1339.78,Representante
233,2024-08-20,4,49,5,1314.27,0,6571.36,Online
234,2023-04-20,1,47,3,4065.68,0,12197.03,Representante
235,2023-08-03,8,24,3,449.18,15,1145.4,Loja Física
236,2022-05-26,6,4,4,427.66,15,1454.03,Online
237,2023-06-26,1,46,4,4553.53,15,15482.01,Representante
238,2023-02-10,4,37,3,1251.46,5,3566.67,Online
239,2023-04-06,2,47,6,277.49,15,1415.18,Online
240,2023-06-29,6,34,6,397.57,0,2385.44,Online
241,2022-05-03,4,50,3,1240.34,0,3721.02,Loja Física
242,2023-08-15,7,47,4,338.41,5,1285.96,Online
243,2024-08-17,5,33,4,360.83,15,1226.83,Loja Física
244,2024-04-04,8,47,5,545.48,0,2727.38,Representante
245,2024-10-08,2,47,3,255.12,5,727.1,Online
246,2022-03-23,8,6,2,564.87,5,1073.26,Representante
247,2023-10-23,5,23,3,383.37,10,1035.1,Loja Física
248,2022-02-22,3,11,2,620.22,0,1240.43,Online
249,2022-02-12,2,37,2,283.37,15,481.73,Loja Física
250,2022-03-24,8,35,2,565.36,0,1130.72,Loja Física
251,2024-11-28,6,26,9,392.43,15,3002.06,Loja Física
252,2023-07-24,7,24,4,359.64,0,1438.57,Representante
253,2024-06-11,9,5,4,40.15,15,136.5,Loja Física
254,2022-07-06,1,35,5,4493.71,5,21345.13,Loja Física
255,2024-04-16,5,16,1,301.24,0,301.24,Loja Física
256,2022-08-03,2,3,4,307.44,0,1229.76,Loja Física
257,2024-04-23,6,1,5,366.8,15,1558.9,Loja Física
258,2023-08-14,5,41,2,360.35,15,612.59,Loja Física
259,2022-03-17,5,40,1,383.2,5,364.04,Online
260,2023-10-07,5,9,4,356.93,0,1427.72,Loja Física
261,2022-08-26,7,19,3,406.05,5,1157.23,Representante
262,2022-01-03,10,13,3,81.59,15,208.06,Representante
263,2024-08-04,4,4,2,1055.6,5,2005.64,Online
264,2023-01-20,8,13,2,526.3,10,947.35,Loja Física
265,2024-10-17,2,42,3,255.96,15,652.69,Loja Física
266,2022-04-16,10,37,1,87.14,0,87.14,Loja Física
267,2022-09-26,7,27,1,330.41,0,330.41,Loja Física
268,2024-09-19,4,13,2,1257.02,0,2514.04,Online
269,2023-05-06,4,16,3,1104.47,15,2816.39,Online
270,2023-09-29,6,42,3,416.36,10,1124.16,Online
271,2024-04-15,5,40,1,368.98,0,368.98,Online
272,2022-08-21,9,45,3,39.08,5,111.39,Online
273,2022-11-12,10,46,4,90.13,5,342.48,Representante
274,2023-08-21,2,25,4,299.7,10,1078.93,Representante
275,2023-07-14,5,43,2,311.92,5,592.66,Loja Física
276,2024-08-25,4,16,3,1058.42,0,3175.25,Loja Física
277,2022-10-24,8,35,1,446.11,5,423.8,Online
278,2024-11-06,9,18,9,41.73,15,319.23,Online
279,2022-05-23,8,33,3,539.55,0,1618.64,Loja Física
280,2023-11-28,8,25,8,552.9,10,3980.91,Loja Física
281,2022-01-06,2,13,2,297.35,0,594.69,Representante
282,2023-09-04,6,13,2,403.66,10,726.59,Representante
283,2024-09-29,7,5,1,417.03,0,417.03,Loja Física
284,2024-09-18,1,17,5,4021.69,0,20108.47,Loja Física
285,2024-02-12,4,43,5,1313.22,5,6237.78,Loja Física
286,2023-01-22,6,41,2,406.62,15,691.25,Online
287,2024-02-24,1,16,5,3906.77,0,19533.85,Loja Física
288,2022-03-31,10,21,2,86.24,0,172.49,Representante
289,2024-08-26,7,38,3,356.52,15,909.13,Loja Física
290,2024-03-01,3,42,3,635.36,15,1620.16,Representante
291,2022-11-08,6,39,7,412.64,5,2744.04,Online
292,2022-09-16,5,21,7,365.26,10,2301.14,Representante
293,2023-11-11,4,20,8,1077.63,0,8621.06,Loja Física
294,2022-07-24,5,47,2,346.35,10,623.43,Loja Física
295,2022-02-01,5,40,1,379.18,15,322.31,Online
296,2024-04-19,10,25,6,79.67,15,406.32,Online
297,2022-06-03,1,18,3,4662.72,5,13288.75,Loja Física
298,2023-11-25,10,12,1,96.62,10,86.96,Representante
299,2024-03-25,5,29,2,340.81,15,579.37,Online
300,2023-11-04,4,37,6,1275.18,15,6503.39,Representante
301,2024-02-18,4,25,1,1238.18,0,1238.18,Representante
302,2024-09-26,6,17,6,430.14,10,2322.74,Online
303,2022-05-21,6,13,3,386.28,0,1158.83,Representante
304,2023-08-12,4,13,2,1043.25,0,2086.49,Representante
305,2022-07-05,10,49,6,85.7,5,488.51,Online
306,2022-07-25,3,10,4,587.4,5,2232.11,Online
307,2023-09-06,3,7,1,572.96,0,572.96,Online
308,2023-10-27,1,13,8,4593.18,0,36745.45,Loja Física
309,2024-01-05,5,34,2,381.25,0,762.5,Loja Física
310,2022-10-26,5,44,7,304.67,0,2132.71,Representante
311,2024-04-23,6,30,9,433.03,10,3507.54,Representante
312,2023-01-04,6,40,5,405.6,0,2027.99,Online
313,2022-06-11,2,17,1,285.6,10,257.04,Loja Física
314,2023-05-09,2,33,4,282.45,5,1073.3,Representante
315,2022-10-21,9,13,4,44.15,0,176.59,Loja Física
316,2023-06-05,2,23,7,276.61,5,1839.46,Loja Física
317,2022-01-20,10,5,1,78.8,5,74.86,Loja Física
318,2022-11-20,6,10,7,393.37,0,2753.6,Loja Física
319,2023-12-09,9,17,4,40.54,10,145.95,Loja Física
320,2024-05-18,3,1,5,626.81,15,2663.95,Loja Física
321,2024-07-24,2,30,5,306.2,0,1531.0,Online
322,2024-02-27,4,35,2,1089.11,5,2069.31,Online
323,2023-05-01,9,6,3,44.6,5,127.11,Representante
324,2024-01-06,9,28,6,39.65,10,214.11,Loja Física
325,2023-08-28,3,18,8,591.09,0,4728.71,Representante
326,2024-03-21,10,38,7,77.75,0,544.24,Online
327,2022-04-11,5,14,4,378.67,10,1363.2,Representante
328,2024-10-14,1,19,3,4545.39,0,13636.17,Online
329,2023-12-23,6,30,4,435.68,0,1742.7,Representante
330,2023-01-25,8,10,1,467.02,10,420.32,Loja Física
331,2022-10-08,2,43,5,270.62,15,1150.14,Online
332,2022-03-22,5,3,3,384.42,0,1153.26,Loja Física
333,2022-03-10,5,33,6,332.36,10,1794.73,Loja Física
334,2022-09-27,5,13,3,341.16,0,1023.48,Loja Física
335,2023-11-01,6,44,7,403.0,15,2397.87,Loja Física
336,2022-12-26,4,44,4,1185.81,0,4743.25,Online
337,2024-01-20,2,43,4,248.62,10,895.02,Representante
338,2023-07-13,1,48,7,4444.78,0,31113.44,Loja Física
339,2024-09-13,3,20,6,622.11,0,3732.64,Representante
340,2023-11-25,1,26,7,4484.97,0,31394.81,Loja Física
341,2022-06-04,1,28,6,4674.89,0,28049.37,Online
342,2024-03-24,9,41,6,46.93,10,253.41,Loja Física
343,2022-07-04,5,13,5,314.33,5,1493.05,Online
344,2023-06-26,1,46,5,4721.7,10,21247.63,Online
345,2024-07-20,5,41,4,352.25,0,1409.02,Representante
346,2023-06-21,5,20,4,325.46,10,1171.66,Loja Física
347,2024-01-31,1,38,3,4469.25,0,13407.76,Representante
348,2023-04-24,2,20,1,248.5,5,236.08,Online
349,2023-11-03,8,7,10,531.72,10,4785.45,Online
350,2022-05-10,8,18,4,500.74,15,1702.52,Loja Física
351,2023-09-11,7,3,3,387.96,15,989.29,Loja Física
352,2022-08-27,5,28,3,369.48,0,1108.44,Online
353,2022-03-18,3,29,4,673.15,0,2692.6,Loja Física
354,2022-08-26,1,15,3,4493.81,0,13481.43,Online
355,2022-10-05,8,28,3,444.19,5,1265.94,Loja Física
356,2024-01-30,6,3,4,409.1,15,1390.96,Representante
357,2024-05-08,3,8,6,578.18,10,3122.2,Representante
358,2022-11-13,9,9,2,41.81,5,79.44,Representante
359,2022-07-22,4,17,1,1312.11,5,1246.51,Representante
360,2024-04-15,6,4,3,357.69,0,1073.08,Online
361,2024-01-29,4,2,5,1101.48,0,5507.4,Loja Física
362,2024-06-29,4,48,9,1268.88,0,11419.88,Loja Física
363,2022-07-23,8,23,6,546.39,15,2786.6,Loja Física
364,2024-01-05,3,7,4,667.94,0,2671.77,Loja Física
365,2023-07-20,1,5,3,4198.58,0,12595.75,Online
366,2024-07-20,9,7,4,43.1,0,172.41,Representante
367,2023-03-11,6,42,3,451.81,15,1152.1,Representante
368,2022-02-13,1,44,2,4365.65,0,8731.3,Loja Física
369,2023-05-14,2,34,3,279.37,0,838.12,Representante
370,2023-02-25,5,29,2,360.39,0,720.77,Representante
371,2023-03-01,9,44,5,45.35,10,204.08,Online
372,2023-04-23,10,13,8,84.85,0,678.83,Online
373,2022-01-06,9,22,1,48.75,0,48.75,Online
374,2022-09-24,7,11,2,378.37,10,681.07,Loja Física
375,2022-12-24,9,20,5,40.74,0,203.72,Representante
376,2022-02-22,7,44,1,324.39,0,324.39,Online
377,2024-01-04,3,17,1,559.79,0,559.79,Representante
378,2023-10-26,3,15,2,696.0,0,1391.99,Online
379,2023-06-28,6,45,6,409.69,0,2458.17,Online
380,2024-05-12,5,44,6,305.3,10,1648.63,Online
381,2022-05-11,3,2,4,554.61,5,2107.51,Loja Física
382,2024-01-12,7,29,1,357.48,10,321.73,Representante
383,2022-08-12,7,1,1,404.44,5,384.22,Representante
384,2023-03-30,4,48,4,1285.53,10,4627.89,Online
385,2024-12-03,3,34,7,630.53,0,4413.7,Loja Física
386,2022-03-05,6,43,3,441.83,0,1325.49,Loja Física
387,2024-04-02,7,31,1,384.88,5,365.64,Representante
388,2022-08-10,7,38,4,350.78,5,1332.95,Representante
389,2024-06-27,8,22,3,473.44,0,1420.31,Online
390,2023-10-22,9,21,5,49.06,10,220.79,Online
391,2022-05-15,3,8,5,608.09,0,3040.44,Loja Física
392,2023-10-28,5,41,4,355.9,5,1352.41,Representante
393,2024-12-22,4,33,7,1289.42,0,9025.94,Loja Física
394,2024-11-01,8,11,8,463.64,10,3338.18,Loja Física
395,2022-07-23,10,34,3,98.34,15,250.76,Online
396,2023-03-17,7,9,3,332.21,5,946.79,Loja Física
397,2023-04-13,10,1,2,81.15,5,154.18,Loja Física
398,2024-07-17,10,32,3,96.47,5,274.94,Loja Física
399,2022-07-14,10,12,1,89.52,0,89.52,Loja Física
400,2023-10-03,7,41,3,395.68,15,1009.0,Loja Física
401,2024-02-06,7,44,5,414.66,0,2073.31,Representante
402,2024-08-29,6,8,6,366.26,0,2197.59,Online
403,2022-06-24,8,11,2,487.58,0,975.15,Loja Física
404,2022-07-17,5,36,2,348.6,15,592.63,Representante
405,2024-02-03,2,26,2,256.25,0,512.49,Representante
406,2022-05-03,2,43,3,276.83,10,747.44,Representante
407,2023-11-07,3,43,8,700.64,15,4764.32,Online
408,2024-04-21,8,10,6,543.04,0,3258.24,Representante
409,2024-05-16,3,41,4,617.1,15,2098.13,Online
410,2023-08-13,2,37,4,279.67,10,1006.83,Loja Física
411,2023-12-22,4,17,3,1126.12,0,3378.36,Representante
412,2024-11-05,8,31,8,561.09,0,4488.72,Online
413,2024-09-14,1,21,2,3942.31,0,7884.62,Online
414,2023-12-19,10,8,3,86.53,10,233.63,Loja Física
415,2022-08-24,6,10,2,365.09,0,730.17,Representante
416,2023-04-09,3,39,1,614.82,5,584.08,Representante
417,2022-02-23,7,26,1,375.33,10,337.8,Representante
418,2023-07-02,1,9,4,3982.58,0,15930.31,Online
419,2023-07-14,4,49,7,1068.18,15,6355.65,Loja Física
420,2023-11-27,2,12,6,244.39,0,1466.32,Online
421,2023-01-07,9,11,5,46.4,0,231.98,Representante
422,2024-03-31,8,6,3,472.57,0,1417.72,Online
423,2022-03-04,5,31,3,346.56,0,1039.68,Representante
424,2024-12-22,10,34,4,86.11,0,344.45,Loja Física
425,2024-05-09,1,46,5,4468.49,5,21225.33,Loja Física
426,2022-11-19,9,45,6,48.5,0,291.0,Loja Física
427,2023-10-27,4,17,1,1306.07,10,1175.46,Representante
428,2022-06-23,8,3,4,448.9,0,1795.6,Online
429,2022-11-19,10,27,5,89.75,10,403.89,Online
430,2022-06-17,4,20,6,1179.54,0,7077.25,Loja Física
431,2024-05-18,2,32,4,252.77,5,960.53,Representante
432,2024-06-24,10,28,2,87.94,5,167.08,Loja Física
433,2023-03-18,7,8,3,327.07,10,883.09,Online
434,2023-12-08,10,18,8,81.05,5,615.97,Online
435,2023-08-04,5,48,8,325.32,15,2212.19,Representante
436,2024-09-23,10,37,1,82.98,10,74.68,Representante
437,2023-09-24,9,12,2,39.56,0,79.11,Online
438,2024-03-20,4,26,3,1164.38,10,3143.82,Online
439,2022-01-16,4,16,1,1283.19,0,1283.19,Loja Física
440,2023-03-09,5,32,4,334.29,0,1337.18,Loja Física
441,2023-08-16,7,2,6,375.36,0,2252.16,Online
442,2022-01-16,5,31,2,329.1,5,625.29,Representante
443,2024-05-31,2,11,6,270.66,0,1623.99,Online
444,2024-02-18,4,7,1,1273.16,10,1145.84,Representante
445,2023-04-17,3,15,6,665.02,10,3591.09,Representante
446,2023-12-27,2,6,8,279.2,0,2233.59,Loja Física
447,2022-03-28,2,40,5,255.99,5,1215.94,Online
448,2024-07-30,5,36,4,313.67,0,1254.68,Loja Física
449,2024-05-29,3,31,8,698.83,10,5031.6,Loja Física
450,2024-05-05,9,15,4,42.25,0,169.02,Online
451,2024-04-09,7,20,4,335.81,0,1343.25,Loja Física
452,2022-12-18,7,50,9,381.04,10,3086.43,Loja Física
453,2024-01-12,10,11,2,81.99,0,163.99,Loja Física
454,2022-08-05,3,17,5,587.36,0,2936.78,Loja Física
455,2024-03-31,5,42,1,298.34,10,268.5,Online
456,2024-03-21,9,29,3,42.27,0,126.81,Representante
457,2023-11-27,6,50,3,426.68,0,1280.03,Loja Física
458,2022-12-11,2,22,1,267.6,0,267.6,Representante
459,2022-08-22,4,25,4,1039.57,10,3742.45,Representante
460,2023-02-02,8,46,3,453.77,0,1361.3,Loja Física
